Speaker Name,Speaker Title,Speaker Company
Jeevan Kalanithi,Co-Founder & CEO,Openspace
Jeff Quantrill,"Head of Account Management, Europe",InEight
Jenny McLaughlin,Senior Project Manager – Long Term Growth,Heathrow Airport
Jeremy Wallin,Strategic Partnerships & Alliances Manager,Autodesk
Jillian Long,Bentley Systems,
Joachim Viktil,CEO,Reope
Jodie Cleary,Senior Digital Construction Manager,McLaren
Joe Butterworth,Senior Account Executive,Qflow
Joe Castner,"GVP, Global Ecosystems",Oracle
Joel Hobby,Enterprise Account Manager,Bluebeam
John Adams,Head of Product,Glider Technology
John Clarke,Operations Director,One Sightsolutions
John Hall,Managing Director,INFENG (Information Engineering)
John Priestland,Director,Priestland Consulting
Johnathan Munkley,Head of Digital Services,WSP
Johnny Furlong,Digital Built Environment Consultant,Dalux
Jon Ozanne,CIO,Balfour Beatty
Jon Saint,Strategic Customer Success Manager,Revizto
Jonny Pye,Technical Solutions Executive,Autodesk
Joost Mink,Design Coordinator,"RED Company | Construction Company, NL"
Jordan Connachie,Managing Director,Kori Construction
Joseph Frame,BIM Consultant | Associate,Evolve Consultancy
Josh Hanson,Design Lead,Sisk
Josh Kennedy,Director of Sales,Guardian for Revit
Josh Mason,AEC Industry Solution Experience Senior Manager,Dassault Systèmes
Josh Myers,"Director, Major Accounts",Asite
Joshua Waterman,Managing Director,Building Safety Act Consult
Jules Cantwell,"General Manager, Europe",Procore
Justin Kirby,Executive Officer,Digital Buildings Council
Justin Stanton,Editor,Digital Construction Plus
Kamran Ali,Enterprise Key Account Manager,Biosite Systems
Kashan Ratyal,Delivery Business Lead,Severn Trent
Katherine Bromwell,Business Improvement Manager,Domis Construction
Katherine Chimenes,Structural Engineer,Price and Myers
Kathleen Baird,Associate Digital Construction Consultant,WSP
Kathryn Dreitzler,"Director of Innovation, VDC",ARCO Construction
Kathryn Kligerman,Partner,Devonshire Solicitors
Katja Ogris,Project Manager,KobiLabs
Kenny Ingram,VP for Construction & Engineering,IFS
Kris Lengieza,"VP, Global Technology Thought-Leader",Procore
Kushal Chandarana,Senior Managing Technical Consultant,IBM
Lee Morris,Solibri,
Lewis Wenman,Lead BIM Manager,Bouygues
Liam McEvoy,Co-Founder & Director,SustainIQ
Lilian Ho,Program Director,ZIGURAT Institute of Technology
Lilly Gallafent,Cast consultancy,
Lloyd Reed,Geospatial Senior Associate,Ridge and Partners
Lorna Killick,Head of Business Transformation,BW: Workplace Experts
Lucas Cusack,Strategic Lead for Asset Management,Glider
Lukas Olbrich,Co-Founder & CEO,Sablono
Luke Holbrook,Chief Operating Officer,Enable My Team
Lydia Walpole,"Global Senior Director, Performance",Bentley Systems
Magdalena Plocica,Head of BIM,Aluprof
Mairead Morgan Gallagher,BIM Lead (Europe & Middle East),Grimshaw
Manuela Oddo,"Associate Director - Digital Engineering Lead, Mace Private Sector",Mace
Marek Suchocki,Head of Industry Associations Strategy,Autodesk
Maria Tsemani,Principal Consultant,Turner & Townsend
Maria Tsolakou,Senior Consultant – Real Estate Digital,Turner & Townsend
